title,console,genre_x,publisher,developer_x,critic_score,total_sales,release_date_x,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Rating,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,user_score,Title,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players,company,stock
Resident Evil 5,PC,Action,Capcom,Capcom,89.0,0.07,2009-09-15,0.01,0.04,0.0,0.01,0.07,30.0,597.0,M,,,,,,,71.0,Resident Evil 5,Capcom,Action Adventure;Horror;Horror;Survival,PC,86.0,72.0,not specified,Capcom,CCOEF
The Bouncer,PS2,Action,Square,SquareSoft,66.0,0.99,2001-03-05,0.3,0.23,0.38,0.08,0.99,20.0,35.0,T,,,,,,,80.0,,,,,,,,Square Enix,SQNXF
Brutal Legend,X360,Action,Electronic Arts,Double Fine Productions,85.0,0.97,2009-10-13,0.62,0.26,0.0,0.09,0.97,88.0,268.0,M,,,,,,,80.0,Brutal Legend,DoubleFineProductions,Action;Action Adventure;General;Fantasy;General;Fantasy;Open-World,X360,82.0,80.0,not specified,EA,EA
Grand Theft Auto: Vice City Stories,PS2,Action,Rockstar Games,Rockstar Leeds,75.0,0.97,2007-03-05,0.78,0.03,0.03,0.13,0.97,37.0,67.0,M,,,,,,,79.0,,,,,,,,Take Two Interactive,TTWO
Skylanders: Spyro's Adventure,X360,Action,Activision,Toys for Bob,78.0,0.97,2011-10-16,0.53,0.34,0.0,0.1,0.97,35.0,53.0,E10+,,,,,,,52.0,Skylanders: Spyro's Adventure,ToysforBob,Action;Platformer;Platformer;3D;3D,X360,78.0,54.0,not specified,Activision Blizzard,ATVI
Grand Theft Auto: San Andreas,PC,Action,Rockstar Games,Rockstar North,94.0,0.97,2005-06-07,0.0,0.93,0.0,0.04,0.97,47.0,1841.0,M,,,,,,,89.0,Grand Theft Auto: San Andreas,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PC,93.0,89.0,No Online Multiplayer,Take Two Interactive,TTWO
Shinobi,PS2,Action,Sega,Overworks,71.0,0.96,2002-11-10,0.36,0.28,0.22,0.09,0.96,33.0,43.0,M,,,,,,,79.0,,,,,,,,Sega,6460.T
Skylanders: Spyro's Adventure,PS3,Action,Activision,Toys for Bob,80.0,0.94,2011-10-16,0.39,0.39,0.0,0.16,0.94,18.0,42.0,E10+,,,,,,,48.0,,,,,,,,Activision Blizzard,ATVI
Brutal Legend,PS3,Action,Electronic Arts,Double Fine Productions,79.0,0.94,2009-10-13,0.54,0.27,0.0,0.13,0.94,61.0,162.0,M,,,,,,,76.0,Brutal Legend,DoubleFineProductions,Action;Action Adventure;General;Fantasy;General;Fantasy;Open-World,PS3,83.0,76.0,Up to 8 ,EA,EA
Castlevania: Lament of Innocence,PS2,Action,Konami,Konami Computer Entertainment Tokyo,81.0,0.94,2003-10-21,0.46,0.36,0.0,0.12,0.94,45.0,74.0,M,,,,,,,84.0,Castlevania: Lament of Innocence,KCET,Action Adventure;Horror,PS2,79.0,84.0,1 Player,Konami,9766.T
Bully,PS2,Action,Rockstar Games,Rockstar Vancouver,87.0,0.94,2006-10-17,0.75,0.03,0.04,0.12,0.94,69.0,293.0,T,,,,,,,91.0,Bully,RockstarVancouver,Action Adventure;Modern,PS2,87.0,90.0,1 Player,Take Two Interactive,TTWO
Bayonetta,X360,Action,Sega,PlatinumGames,89.0,0.93,2010-01-05,0.51,0.25,0.09,0.08,0.93,86.0,597.0,M,,,,,,,95.0,Bayonetta,PlatinumGames,Action;Action Adventure;Beat-'Em-Up;Fantasy;Beat-'Em-Up;Linear,X360,90.0,81.0,No Online Multiplayer,Sega,6460.T
Teenage Mutant Ninja Turtles,GBA,Action,Konami,Konami,71.0,0.93,2003-10-31,0.67,0.25,0.0,0.02,0.93,16.0,8.0,E,,,,,,,88.0,,,,,,,,Konami,9766.T
Teenage Mutant Ninja Turtles,PS2,Action,Konami,Konami,59.0,0.92,2003-10-21,0.45,0.35,0.0,0.12,0.92,29.0,31.0,E,,,,,,,87.0,,,,,,,,Konami,9766.T
Dante's Inferno,X360,Action,Electronic Arts,Visceral Games,70.0,0.92,2010-02-09,0.63,0.2,0.02,0.07,0.92,71.0,224.0,M,,,,,,,77.0,,,,,,,,EA,EA
Resident Evil: Revelations,3DS,Action,Capcom,Capcom,78.0,0.89,2012-02-07,0.3,0.22,0.3,0.05,0.88,78.0,397.0,M,68.0,10.0,0.0,98.0,13.0,2.0,85.0,Resident Evil: Revelations,Capcom,Action Adventure;Horror;Horror;Survival,3DS,82.0,84.0,2 ,Capcom,CCOEF
The Tomb Raider Trilogy,PS3,Action,Square Enix,Crystal Dynamics,85.0,0.89,2011-03-22,0.27,0.46,0.0,0.15,0.88,37.0,60.0,T,,,,,,,81.0,The Tomb Raider Trilogy,CrystalDynamics,Miscellaneous;Compilation;Compilation,PS3,78.0,81.0,1 Player,Square Enix,SQNXF
NBA 2K6,PS2,Action,2K Sports,Unknown,84.0,0.88,2005-09-26,0.43,0.34,0.0,0.11,0.88,23.0,13.0,E,,,,,,,83.0,NBA 2K6,VisualConcepts,Sports;Traditional;Basketball;Sim,PS2,84.0,83.0,10  Online,Take Two Interactive,TTWO
Grand Theft Auto IV,PC,Action,Rockstar Games,Rockstar Toronto,92.0,0.87,2008-12-02,0.01,0.79,0.0,0.07,0.88,40.0,2299.0,M,,,,,,,66.0,Grand Theft Auto IV,RockstarToronto,Action Adventure;Modern;Modern;Open-World,PC,90.0,67.0,1 Player,Take Two Interactive,TTWO
Bayonetta 2,WiiU,Action,Nintendo,PlatinumGames,93.0,0.86,2014-10-24,0.32,0.28,0.1,0.06,0.76,80.0,1217.0,M,78.0,2.0,0.0,186.0,5.0,7.0,82.0,Bayonetta 2,PlatinumGames,Action Adventure;Fantasy;Fantasy;Linear,WiiU,91.0,90.0,No Online Multiplayer,Nintendo,NTDOY
Tomb Raider: Anniversary,Wii,Action,Eidos Interactive,Crystal Dynamics,68.0,0.85,2007-11-13,0.12,0.62,0.0,0.11,0.85,22.0,25.0,T,,,,,,,73.0,,,,,,,,Square Enix,SQNXF
Spider-Man 2,GC,Action,Activision,Treyarch,77.0,0.84,2004-06-28,0.65,0.17,0.0,0.02,0.84,41.0,30.0,T,,,,,,,88.0,Spider-Man 2,Treyarch,Action Adventure;Sci-Fi,GC,80.0,85.0,1 Player,Activision Blizzard,ATVI
ZombiU,WiiU,Action,Ubisoft,Ubisoft Montpellier,69.0,0.84,2012-11-18,0.52,0.36,0.05,0.08,1.01,70.0,758.0,M,49.0,20.0,1.0,178.0,31.0,14.0,77.0,,,,,,,1-4 ,Ubisoft,UBSFY
